latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.81966300009029,144.9477769997832,105809,88.465,3008,DOCKLANDS
-37.81966499952155,144.94777900061194,105808,80.743,3008,DOCKLANDS
-37.81966700013601,144.9477819999763,105807,77.126,3008,DOCKLANDS
-37.81966999986147,144.94778400036338,105806,63.05,3008,DOCKLANDS
-37.81967199957508,144.94778699975305,105805,56.305,3008,DOCKLANDS
-37.819674000209126,144.94779000025343,105804,52.981,3008,DOCKLANDS
-37.819675999620394,144.94779199994733,105803,39.198,3008,DOCKLANDS
-37.81967899964787,144.94779500003116,105802,35.973,3008,DOCKLANDS
-37.8196809999598,144.9477969997004,105801,31.378,3008,DOCKLANDS
-37.81968299969288,144.94780000022632,105800,27.664,3008,DOCKLANDS
-37.8196860003188,144.9478020005896,105799,26.491,3008,DOCKLANDS
-37.819687999729865,144.94780400028412,105798,28.152,3008,DOCKLANDS
-37.81969099975706,144.94780700036895,105797,34.8,3008,DOCKLANDS
-37.819694000363064,144.94780899959719,105796,38.71,3008,DOCKLANDS
-37.819695999793815,144.9478110004276,105795,40.665,3008,DOCKLANDS
-37.819698999820844,144.947814000513,105794,47.605,3008,DOCKLANDS
-37.819702000426744,144.94781599974178,105793,56.598,3008,DOCKLANDS
-37.81970399985738,144.94781800057262,105792,59.922,3008,DOCKLANDS
-37.81970699986446,144.94782099952312,105791,71.261,3008,DOCKLANDS
-37.819709000195765,144.94782300032927,105790,83.871,3008,DOCKLANDS
-37.8197120002225,144.9478260004157,105789,88.465,3008,DOCKLANDS
-37.81971499992748,144.9478279996702,105788,99.316,3008,DOCKLANDS
-37.81971700025867,144.94783000047676,105787,99.316,3008,DOCKLANDS
-37.81972000028525,144.94783300056375,105786,99.316,3008,DOCKLANDS
-37.81972199999769,144.9478359999568,105785,99.316,3008,DOCKLANDS
-37.819723999729845,144.94783900048546,105784,99.316,3008,DOCKLANDS
-37.81972699973642,144.94784199943763,105783,99.316,3008,DOCKLANDS
-37.81972900036917,144.9478449999417,105782,99.316,3008,DOCKLANDS
-37.81973099950212,144.94784900019272,105781,99.316,3008,DOCKLANDS
-37.81973300011491,144.94785199956166,105780,99.316,3008,DOCKLANDS
-37.81973600014096,144.94785499965022,105779,99.316,3008,DOCKLANDS
-37.819737999872665,144.94785800017993,105778,99.316,3008,DOCKLANDS
-37.8197399995845,144.94786099957437,105777,99.316,3008,DOCKLANDS
-37.81974199959375,144.94786199954999,105776,99.316,3008,DOCKLANDS
-37.81974399960301,144.94786299952563,105775,99.316,3008,DOCKLANDS
-37.819745999933644,144.9478650003339,105774,99.316,3008,DOCKLANDS
-37.81974799994288,144.9478660003097,105773,99.316,3008,DOCKLANDS
-37.819749999952094,144.94786700028553,105772,99.316,3008,DOCKLANDS
-37.819751999961305,144.9478680002614,105771,99.316,3008,DOCKLANDS
-37.81975400027207,144.94786999993454,105770,99.316,3008,DOCKLANDS
-37.81975600028126,144.94787099991058,105769,99.316,3008,DOCKLANDS
-37.81975699999615,144.94787200032744,105768,99.316,3008,DOCKLANDS
-37.81975900000532,144.94787300030353,105767,99.316,3008,DOCKLANDS
-37.819761000316035,144.94787499997696,105766,99.316,3008,DOCKLANDS
-37.81976300032518,144.94787599995323,105765,99.316,3008,DOCKLANDS
-37.81976499973509,144.9478779996518,105764,99.316,3008,DOCKLANDS
-37.81976700036699,144.9478810001584,105763,88.954,3008,DOCKLANDS
-37.81976800038327,144.94788300027292,105762,76.344,3008,DOCKLANDS
-37.819769999793074,144.94788499997182,105761,64.712,3008,DOCKLANDS
-37.81977199952406,144.94788800050375,105760,49.365,3008,DOCKLANDS
-37.81977399983453,144.94789000017792,105759,41.642,3008,DOCKLANDS
-37.81977600014494,144.94789199985223,105758,38.416,3008,DOCKLANDS
-37.81977699956169,144.9478949996896,105757,30.205,3008,DOCKLANDS
-37.819778999872035,144.94789699936413,105756,28.837,3008,DOCKLANDS
-37.819781000202155,144.94789900017426,105755,27.761,3008,DOCKLANDS
-37.81978299991301,144.9479019995715,105754,26.784,3008,DOCKLANDS
-37.819783999928944,144.94790399968676,105753,25.122,3008,DOCKLANDS
-37.81978600025895,144.9479060004972,105752,24.633,3008,DOCKLANDS
-37.819789000283734,144.94790900059002,105751,25.513,3008,DOCKLANDS
-37.81979099999435,144.9479119999879,105750,28.152,3008,DOCKLANDS
-37.819793999717774,144.94791400038343,105749,31.281,3005,WORLD TRADE CENTRE
-37.81979600032901,144.9479169997567,105748,37.341,3005,WORLD TRADE CENTRE
-37.81979900005237,144.94791900015258,105747,41.349,3005,WORLD TRADE CENTRE
-37.81980099976275,144.9479219995511,105746,43.5,3005,WORLD TRADE CENTRE
-37.81980399948603,144.94792399994734,105745,50.831,3005,WORLD TRADE CENTRE
-37.819806000116806,144.94792700045676,105744,56.305,3005,WORLD TRADE CENTRE
-37.819808999820225,144.9479289997178,105743,59.14,3005,WORLD TRADE CENTRE
-37.819811999844454,144.94793199981248,105742,61.975,3005,WORLD TRADE CENTRE
-37.819814000174006,144.94793400062443,105741,74.389,3005,WORLD TRADE CENTRE
-37.81981700017833,144.94793699958404,105740,84.066,3005,WORLD TRADE CENTRE
-37.81981899990808,144.94794000011927,105739,97.458,3005,WORLD TRADE CENTRE
-37.819821999631074,144.9479420005167,105738,99.316,3005,WORLD TRADE CENTRE
-37.819824999655005,144.9479450006124,105737,99.316,3005,WORLD TRADE CENTRE
-37.819828000258866,144.94794699984973,105736,99.316,3005,WORLD TRADE CENTRE
-37.819831000282676,144.9479499999459,105735,99.316,3005,WORLD TRADE CENTRE
-37.819834000005514,144.94795200034403,105734,99.316,3005,WORLD TRADE CENTRE
-37.81983700002921,144.94795500044066,105733,99.316,3005,WORLD TRADE CENTRE
-37.81983900033862,144.94795700011838,105732,99.316,3005,WORLD TRADE CENTRE
-37.81984200036219,144.94796000021537,105731,99.316,3005,WORLD TRADE CENTRE
-37.81984500008487,144.94796200061418,105730,99.316,3005,WORLD TRADE CENTRE
-37.819848000088534,144.94796499957616,105729,91.3,3005,WORLD TRADE CENTRE
-37.819851000111925,144.94796799967386,105728,76.442,3005,WORLD TRADE CENTRE
-37.81985399983449,144.94797000007324,105727,64.223,3005,WORLD TRADE CENTRE
-37.819856999857755,144.94797300017137,105726,52.884,3005,WORLD TRADE CENTRE
-37.81985999958023,144.9479750005711,105725,49.462,3005,WORLD TRADE CENTRE
-37.81986399989769,144.94797800023025,105724,40.176,3005,WORLD TRADE CENTRE
-37.81986699962011,144.94798000063034,105723,30.596,3005,WORLD TRADE CENTRE
-37.81986999962336,144.9479829995939,105722,25.611,3005,WORLD TRADE CENTRE
-37.81987300024642,144.94798499996944,105721,24.34,3005,WORLD TRADE CENTRE
-37.81987600026933,144.94798800006893,105720,22.287,3005,WORLD TRADE CENTRE
-37.819880000285906,144.94799000003047,105719,20.43,3005,WORLD TRADE CENTRE
-37.8198830003087,144.94799300013045,105718,20.039,3005,WORLD TRADE CENTRE
